,,,,,,,,,,,,,,,,,Time,Round,Rank,Heat,Lane,Swimmer,Nation,Notes

,,,,,,,,,,,,,,,,,4:02.19,,1.0,3.0,5.0,Katie Ledecky,United States,Q,,
,,,,,,,,,,,,,,,,,4:02.46,,2.0,3.0,4.0,Ariarne Titmus,Australia,Q,,
,,,,,,,,,,,,,,,,,4:02.55,,3.0,2.0,5.0,Erika Fairweather,New Zealand,Q,,
,,,,,,,,,,,,,,,,,4:02.65,,4.0,2.0,4.0,Summer McIntosh,Canada,Q,,
,,,,,,,,,,,,,,,,,4:03.30,,5.0,2.0,2.0,Jamie Perkins,Australia,Q,,
,,,,,,,,,,,,,,,,,4:03.34,,6.0,2.0,3.0,Paige Madden,United States,Q,,
,,,,,,,,,,,,,,,,,4:03.47,,7.0,2.0,6.0,Maria Fernanda Costa,Brazil,Q,,
,,,,,,,,,,,,,,,,,4:03.83,,8.0,3.0,6.0,Isabel Marie Gose,Germany,Q,,
,,,,,,,,,,,,,,,,,4:03.96,,9.0,3.0,3.0,Li Bingjie,China,,,
,,,,,,,,,,,,,,,,,4:04.39,,10.0,3.0,7.0,Liu Yaxin,China,,,
,,,,,,,,,,,,,,,,,4:08.02,,11.0,3.0,1.0,Waka Kobori,Japan,,,
,,,,,,,,,,,,,,,,,4:08.25,,12.0,2.0,1.0,Valentine Dumont,Belgium,,,
,,,,,,,,,,,,,,,,,4:08.90,,13.0,3.0,8.0,Ajna Késely,Hungary,,,
,,,,,,,,,,,,,,,,,4:09.62,,14.0,1.0,4.0,Leonie Märtens,Germany,,,
,,,,,,,,,,,,,,,,,4:10.32,,15.0,2.0,8.0,Anastasiya Kirpichnikova,France,,,
,,,,,,,,,,,,,,,,,4:10.46,,16.0,3.0,2.0,Gabrielle Roncatto,Brazil,,,
,,,,,,,,,,,,,,,,,4:11.86,,17.0,2.0,7.0,Eve Thomas,New Zealand,,,
,,,,,,,,,,,,,,,,,4:14.24,,18.0,1.0,5.0,Agostina Hein,Argentina,,,
,,,,,,,,,,,,,,,,,4:31.71,,19.0,1.0,6.0,Anastasiya Zelinskaya,Uzbekistan,,,
,,,,,,,,,,,,,,,,,4:33.46,,20.0,1.0,2.0,Natalia Jean Kuipers,Virgin Islands,,,
,,,,,,,,,,,,,,,,,4:37.30,,21.0,1.0,3.0,Karin Belbeisi,Jordan,,,

,,,,,,,,,,,,,,,,,3:57.49,,,,5.0,Ariarne Titmus,Australia,,,
,,,,,,,,,,,,,,,,,3:58.37,,,,6.0,Summer McIntosh,Canada,,,
,,,,,,,,,,,,,,,,,4:00.86,,,,4.0,Katie Ledecky,United States,,,
,,,,,,,,,,,,,,,,,4:01.12,,4.0,,3.0,Erika Fairweather,New Zealand,,,
,,,,,,,,,,,,,,,,,4:02.14,,5.0,,8.0,Isabel Marie Gose,Germany,NR,,
,,,,,,,,,,,,,,,,,4:02.26,,6.0,,7.0,Paige Madden,United States,,,
,,,,,,,,,,,,,,,,,4:03.53,,7.0,,1.0,Maria Fernanda Costa,Brazil,,,
,,,,,,,,,,,,,,,,,4:04.96,,8.0,,2.0,Jamie Perkins,Australia,,,
