,,,,,,,,,,,,,,,,,,Time,Round,Rank,Heat,Lane,Swimmer,Nation,Notes,

,,,,,,,,,,,,,,,,,,8:16.62,,1.0,2.0,4.0,Katie Ledecky,United States,Q,,
,,,,,,,,,,,,,,,,,,8:18.48,,2.0,2.0,6.0,Paige Madden,United States,Q,,
,,,,,,,,,,,,,,,,,,8:19.87,,3.0,2.0,5.0,Ariarne Titmus,Australia,Q,,
,,,,,,,,,,,,,,,,,,8:20.21,,4.0,1.0,5.0,Lani Pallister,Australia,Q,,
,,,,,,,,,,,,,,,,,,8:20.63,,5.0,1.0,3.0,Isabel Marie Gose,Germany,Q,,
,,,,,,,,,,,,,,,,,,8:20.89,,6.0,2.0,3.0,Simona Quadarella,Italy,Q,,
,,,,,,,,,,,,,,,,,,8:22.22,,7.0,1.0,6.0,Erika Fairweather,New Zealand,Q,,
,,,,,,,,,,,,,,,,,,8:22.99,,8.0,1.0,2.0,Anastasiya Kirpichnikova,France,Q,,
,,,,,,,,,,,,,,,,,,8:27.92,,9.0,1.0,4.0,Li Bingjie,China,,,
,,,,,,,,,,,,,,,,,,8:32.20,,10.0,1.0,7.0,Maria Fernanda Costa,Brazil,,,
,,,,,,,,,,,,,,,,,,8:32.37,,11.0,1.0,1.0,Gan Ching Hwee,Singapore,NR,,
,,,,,,,,,,,,,,,,,,8:33.25,,12.0,2.0,2.0,Eve Thomas,New Zealand,,,
,,,,,,,,,,,,,,,,,,8:36.13,,13.0,2.0,7.0,Ajna Késely,Hungary,,,
,,,,,,,,,,,,,,,,,,8:37.43,,14.0,2.0,1.0,Agostina Hein,Argentina,,,
,,,,,,,,,,,,,,,,,,8:46.46,,15.0,2.0,8.0,Kristel Köbrich,Chile,,,
,,,,,,,,,,,,,,,,,,9:21.38,,16.0,1.0,8.0,Jamila Boulakbech,Tunisia,,,

,,,,,,,,,,,,,,,,,,8:11.04,,,,4.0,Katie Ledecky,United States,,,
,,,,,,,,,,,,,,,,,,8:12.29,,,,3.0,Ariarne Titmus,Australia,OC,,
,,,,,,,,,,,,,,,,,,8:13.00,,,,5.0,Paige Madden,United States,,,
,,,,,,,,,,,,,,,,,,8:14.55,,4.0,,7.0,Simona Quadarella,Italy,NR,,
,,,,,,,,,,,,,,,,,,8:17.82,,5.0,,2.0,Isabel Marie Gose,Germany,,,
,,,,,,,,,,,,,,,,,,8:21.09,,6.0,,6.0,Lani Pallister,Australia,,,
,,,,,,,,,,,,,,,,,,8:22.80,,7.0,,8.0,Anastasiya Kirpichnikova,France,,,
,,,,,,,,,,,,,,,,,,8:23.27,,8.0,,1.0,Erika Fairweather,New Zealand,,,
